Month,"Steak, sirloin","Steak, round",Round roast,Chuck roast,All Uncooked Other Beef (Excluding Veal),All uncooked ground beef,All Uncooked Beef Roasts,All Uncooked Beef Steaks
2015-02,8.194,6.18,5.657,5.546,4.684,4.708,5.844,7.569
2015-03,8.372,6.209,5.736,5.563,4.709,4.677,5.872,7.661
2015-04,8.329,6.157,5.644,5.659,4.702,4.681,5.864,7.684
2015-05,8.816,6.185,5.653,5.7,4.59,4.653,5.915,7.773
2015-06,8.842,6.183,5.638,5.704,4.696,4.676,5.927,7.917
2015-07,8.837,6.243,5.685,5.677,4.738,4.637,5.905,7.962
2015-08,8.697,6.147,5.688,5.639,4.7,4.618,5.871,7.91
2015-09,8.864,6.184,5.601,5.513,4.684,4.604,5.785,7.89
2015-10,8.802,6.209,5.523,5.546,4.648,4.572,5.762,7.836
2015-11,8.724,6.081,5.445,5.649,4.541,4.551,5.718,7.788
2015-12,8.287,5.932,5.279,5.414,4.505,4.485,5.482,7.509
2016-01,8.144,5.856,5.225,5.177,4.437,4.396,5.421,7.468
2016-02,8.275,6.002,5.295,5.346,4.539,4.379,5.526,7.502
2016-03,8.514,5.968,5.47,5.321,4.503,4.371,5.662,7.686
2016-04,8.502,6.026,5.406,5.194,4.53,4.327,5.576,7.756
2016-05,8.678,6.07,5.534,5.381,4.451,4.298,5.687,7.759
2016-06,8.69,6.134,5.443,5.323,4.517,4.263,5.601,7.681
2016-07,8.521,5.76,5.274,5.211,4.521,4.234,5.504,7.546
2016-08,8.544,5.758,5.133,5.124,4.508,4.25,5.451,7.569
2016-09,8.585,6.067,5.016,5.163,4.503,4.22,5.315,7.51
2016-10,8.323,5.807,4.82,5.129,4.497,4.158,5.277,7.413
2016-11,7.943,5.758,4.987,5.187,4.451,4.091,5.301,7.217
2016-12,7.91,5.556,4.884,5.104,4.517,4.043,5.159,7.121
2017-01,7.79,5.733,4.934,4.962,4.447,4.057,5.138,7.094
2017-02,7.848,5.754,5.088,5.186,4.472,4.029,5.208,7.154
2017-03,7.856,5.728,5.152,5.141,4.406,4.067,5.264,7.176
2017-04,8.081,5.577,5.124,5.126,4.497,4.078,5.315,7.277
2017-05,8.082,5.758,5.202,5.145,4.567,4.078,5.354,7.315
2017-06,8.349,5.838,5.29,5.342,4.716,4.16,5.498,7.525
2017-07,8.359,5.939,5.326,5.228,4.733,4.212,5.453,7.606
2017-08,8.251,5.838,5.182,5.189,4.782,4.207,5.349,7.479
2017-09,8.084,5.882,5.168,5.098,4.672,4.207,5.329,7.363
2017-10,8.039,5.778,4.916,5.124,4.549,4.1,5.156,7.388
2017-11,7.906,5.798,4.934,5.09,4.622,4.102,5.163,7.352
2017-12,7.927,5.832,5.02,5.12,4.653,4.128,5.207,7.364
2018-01,8.205,5.608,4.925,4.792,4.431,4.068,5.109,7.415
2018-02,8.297,5.619,4.99,4.996,4.483,4.07,5.184,7.392
2018-03,8.339,5.512,5.107,5.026,4.524,4.099,5.259,7.507
2018-04,8.551,5.785,5.192,5.168,4.451,4.155,5.378,7.703
2018-05,8.247,5.649,5.179,5.234,4.579,4.079,5.369,7.64
2018-06,8.509,5.8,5.205,5.301,4.8,4.115,5.481,7.673
2018-07,8.552,5.694,5.163,5.458,4.764,4.149,5.508,7.725
2018-08,8.561,5.807,5.152,5.399,4.789,4.155,5.506,7.724
2018-09,8.544,5.839,4.995,5.332,4.745,4.12,5.386,7.678
2018-10,8.331,5.791,4.875,5.173,4.78,4.091,5.203,7.595
2018-11,8.375,5.681,4.806,5.222,4.835,4.166,5.17,7.572
2018-12,8.311,5.687,4.791,5.122,4.73,4.139,5.202,7.579
2019-01,8.348,5.601,5.011,5.139,4.778,4.173,5.283,7.598
2019-02,8.529,5.722,4.968,5.145,4.797,4.169,5.319,7.597
2019-03,8.575,5.839,5.16,5.467,4.875,4.138,5.439,7.74
2019-04,8.706,5.856,5.26,5.246,4.931,4.198,5.445,7.755
2019-05,8.662,5.892,5.374,5.476,4.905,4.277,5.521,7.798
2019-06,8.133,5.882,5.401,5.517,4.976,4.231,5.627,7.679
2019-07,8.284,5.977,5.458,5.479,4.998,4.258,5.609,7.716
2019-08,8.134,5.834,5.305,5.279,5.0,4.249,5.471,7.652
2019-09,8.083,5.858,5.222,5.294,5.018,4.209,5.43,7.658
2019-10,8.225,5.774,4.988,5.131,4.941,4.262,5.277,7.667
2019-11,8.318,5.793,5.211,5.404,5.032,4.241,5.376,7.535
2019-12,8.481,5.977,5.069,5.646,5.053,4.3,5.537,7.709
2020-01,8.441,5.963,5.062,5.398,5.046,4.343,5.515,7.653
2020-02,8.333,6.091,5.26,5.368,5.148,4.298,5.532,7.642
2020-03,8.265,6.091,5.175,5.382,5.079,4.355,5.535,7.676
2020-04,8.6,6.41,5.528,5.786,5.385,4.556,5.896,7.951
2020-05,9.48,7.301,6.906,7.049,5.691,4.931,7.068,8.957
2020-06,10.423,7.394,6.546,7.165,6.071,5.291,7.057,9.518
2020-07,9.413,6.95,5.884,6.476,5.672,4.84,6.461,8.698
2020-08,8.875,6.579,5.668,5.972,5.448,4.64,6.059,8.213
2020-09,8.795,6.447,5.76,5.849,5.442,4.547,6.035,8.133
2020-10,8.931,6.383,5.614,5.749,5.375,4.552,5.841,8.154
2020-11,8.876,6.449,5.522,5.96,5.482,4.596,5.883,8.081
2020-12,8.98,6.339,5.302,6.008,5.552,4.555,5.868,8.085
2021-01,9.148,6.522,5.475,5.811,5.632,4.543,5.861,8.25
2021-02,9.079,6.443,5.582,5.991,5.664,4.556,6.063,8.281
2021-03,9.134,6.412,5.625,6.088,5.57,4.648,6.229,8.383
2021-04,9.344,6.64,5.771,5.949,5.703,4.656,6.216,8.656
2021-05,9.892,6.737,5.822,6.381,5.954,4.703,6.512,9.12
2021-06,10.78,7.297,6.209,6.635,6.317,4.869,6.824,9.747
2021-07,10.538,7.183,6.1,6.7,6.37,4.846,6.749,9.67
2021-08,10.599,7.112,6.004,6.8,6.38,4.964,6.727,9.652
2021-09,11.01,7.282,6.276,7.457,6.64,5.051,7.133,9.912
2021-10,11.654,7.304,6.33,7.397,6.751,5.237,7.127,10.209
2021-11,11.508,7.404,6.426,7.272,7.011,5.261,7.161,10.228
2021-12,11.055,7.342,6.234,6.922,7.011,5.174,6.948,9.933
2022-01,10.826,7.378,6.158,6.83,6.771,5.17,6.845,9.825
2022-02,10.584,7.489,6.318,6.83,6.949,5.199,6.898,9.753
